type,prix,adresse,image
Chaussures enfant,10 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4028219_uploaded_image1_1672405449.jpg
Pantoufles,7 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4060976_uploaded_image1_1674416715.jpg
Chaussures enfant,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4019759_uploaded_image1_1671731981.jpg
Chaussures  enfant,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4040305_uploaded_image2_1673193273.jpeg
Chaussure Jordan enfant ,7 500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4040246_uploaded_image1_1673189828.jpg
Chaussures enfants,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038506_uploaded_image1_1673066961.jpg
Chaussures crocs,6 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4038403_uploaded_image1_1673050094.jpg
Chaussures enfant ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002035_uploaded_image1_1670608928.jpg
Chaussures enfants ,20 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4024385_uploaded_image1_1672137859.jpg
Chaussures enfants,15 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4002819_uploaded_image1_1670672099.jpg
Chaussures enfant friperie,7 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4000084_uploaded_image1_1670513545.jpg
Baskets enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4000080_uploaded_image3_1670513440.jpeg
Baskets enfant,20 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958985_uploaded_image1_1668074060.jpg
Chaussures enfants,20 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3934730_uploaded_image1_1666662380.jpg
Chaussure enfants,15 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3920803_uploaded_image1_1665775387.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897399_uploaded_image1_1664399172.jpg
Chaussures enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3897395_uploaded_image1_1664399089.jpg
Chaussures enfants friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3895663_uploaded_image1_1664298673.jpg
